Складские остатки на дату;Код продукции ДКС;Количество;Базовая единица измерения ;Сумма с НДС ;Город;Адрес офиса продаж дистр.;Внутр. код офиса продаж дистр.;Срок доставки
22.09.2022;00323;16;;132,52;Краснодар;ул. Онежская, д. 60;;0
22.09.2022;00323;8;;132,52;Краснодар;ул. Дзержинского, д. 98/3;;0
22.09.2022;00323;4;;132,52;Краснодар;ул. Уральская, д. 87;;0
22.09.2022;00323;72;;132,52;Краснодар;ул. Текстильная, д. 9Б;;0
22.09.2022;00867;3;;92,99;Краснодар;ул. Дзержинского, д. 98/3;;0
22.09.2022;00867;5;;92,99;Краснодар;ул. Российская, д. 252;;0
22.09.2022;01721;4;;232,26;Краснодар;ул. Онежская, д. 60;;0
22.09.2022;01721;4;;232,26;Краснодар;ул. Кр. Партизан, д. 194;;0
22.09.2022;01721;5;;232,26;Краснодар;ул. Российская, д. 252;;0
22.09.2022;01721;3;;232,26;Краснодар;ул. Текстильная, д. 9Б;;0
22.09.2022;01737;3;;107,81;Краснодар;ул. Онежская, д. 60;;0
22.09.2022;01737;2;;107,81;Краснодар;ул. Кр. Партизан, д. 194;;0
22.09.2022;01737;7;;107,81;Краснодар;ул. Дзержинского, д. 98/3;;0
22.09.2022;01737;5;;107,81;Краснодар;ул. Российская, д. 252;;0
22.09.2022;01737;6;;107,81;Краснодар;ул. Текстильная, д. 9Б;;0
22.09.2022;01737;2;;107,81;Краснодар;ул. Западный обход, д. 34;;0
22.09.2022;91920;4927;;17,95;Краснодар;ул. Онежская, д. 60;;0
22.09.2022;91920;6594;;17,95;Краснодар;ул. Кр. Партизан, д. 194;;0
22.09.2022;91920;2636;;17,95;Краснодар;ул. Солнечная, д. 25;;0
22.09.2022;91920;2974;;17,95;Краснодар;ул. Дзержинского, д. 98/3;;0
22.09.2022;91920;1420;;17,95;Краснодар;ул. Уральская, д. 87;;0
22.09.2022;91920;3740;;17,95;Краснодар;ул. Российская, д. 252;;0
22.09.2022;91920;18086;;17,95;Краснодар;ул. Текстильная, д. 9Б;;0
22.09.2022;91920;2485;;17,95;Краснодар;ул. Западный обход, д. 34;;0
22.09.2022;91920;1181;;17,95;Краснодар;ул. К. Россинского , д. 7;;0
22.09.2022;71920;175;;25,58;Краснодар;ул. Онежская, д. 60;;0
