2023-10-05 12:02:07 
Array
(
    [a] => 1
)

2023-10-05 12:38:43 
Array
(
    [a] => 1
)
 192.168.9.126
2023-10-05 12:41:02 
test	192.168.9.126
2023-10-05 12:42:10 	test	192.168.9.126
2023-10-05 12:48:29 	test	192.168.9.126	Десктоп
2023-10-05 12:51:00 	test	192.168.9.126	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0
2023-10-05 13:29:29 	test	192.168.9.126	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0
НЕ РАБОТАЕТ2023-10-05 13:36:11 		192.168.9.126	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0
2023-10-05 13:42:41 		192.168.9.126	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0
2023-10-05 13:44:59 		192.168.9.126	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0
2023-10-05 13:45:56 		192.168.9.126	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0
2023-10-05 13:48:10 	Whatsapp	192.168.9.126	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0
2023-10-05 13:50:27 	Whatsapp	192.168.9.126	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0
2023-10-05 13:59:13 	zakazatZvonok	192.168.9.126	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0
2023-10-05 13:59:16 	zakazatZvonok	192.168.9.126	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0
2023-10-05 14:07:44 	Создан заказ	192.168.9.126	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0
2023-10-05 14:07:53 	Создан заказ	192.168.9.126	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0
2023-10-05 14:51:46 	Whatsapp	91.217.11.45	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.2272 YaBrowser/23.9.0.2272 Yowser/2.5 Safari/537.36
2023-10-05 15:11:55 	zakazatZvonok	85.174.200.2	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.2271 YaBrowser/23.9.0.2271 Yowser/2.5 Safari/537.36
2023-10-05 17:04:43 	Создан заказ	176.59.68.199	Десктоп	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36
2023-10-05 17:06:54 	Создан заказ	176.59.68.199	Десктоп	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36
2023-10-05 17:07:11 	Создан заказ	176.59.68.199	Десктоп	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36
2023-10-05 17:07:27 	Создан заказ	176.59.68.199	Десктоп	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36
2023-10-05 17:07:29 	Создан заказ	176.59.68.199	Десктоп	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36
2023-10-05 17:40:07 	Создан заказ	178.176.213.104	Мобильный	Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1
2023-10-05 17:40:24 	Создан заказ	178.176.213.104	Мобильный	Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1
2023-10-05 17:41:26 	Создан заказ	178.176.213.104	Мобильный	Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1
2023-10-05 18:14:10 	Создан заказ	77.247.246.213	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47
2023-10-05 18:14:17 	Создан заказ	77.247.246.213	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47
2023-10-05 18:14:21 	Создан заказ	77.247.246.213	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47
2023-10-05 19:08:06 	Whatsapp	212.107.27.32	Мобильный	Mozilla/5.0 (Linux; Android 12; Galaxy Note 20) AppleWebKit/537.46 (KHTML, like Gecko) Chrome/112.0.5615.47 Mobile Safari/537.46
2023-10-05 22:42:50 	Создан заказ	91.238.89.122	Мобильный	Mozilla/5.0 (Linux; arm_64; Android 11; 2109119DG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 YaBrowser/20.12.5.126.00 SA/3 Mobile Safari/537.36
2023-10-05 22:44:16 	Создан заказ	91.238.89.122	Мобильный	Mozilla/5.0 (Linux; arm_64; Android 11; 2109119DG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 YaBrowser/20.12.5.126.00 SA/3 Mobile Safari/537.36
2023-10-05 22:44:22 	Создан заказ	91.238.89.122	Мобильный	Mozilla/5.0 (Linux; arm_64; Android 11; 2109119DG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 YaBrowser/20.12.5.126.00 SA/3 Mobile Safari/537.36
2023-10-05 22:48:16 	Создан заказ	146.158.117.2	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36
2023-10-05 22:48:40 	Создан заказ	146.158.117.2	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36
2023-10-05 22:50:33 	zakazatZvonok	5.167.124.36	Мобильный	Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/283.0.567502095 Mobile/15E148 Safari/604.1
2023-10-06 00:04:54 	Создан заказ	95.25.133.173	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.2271 YaBrowser/23.9.0.2271 Yowser/2.5 Safari/537.36
2023-10-06 00:04:58 	Создан заказ	95.25.133.173	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.2271 YaBrowser/23.9.0.2271 Yowser/2.5 Safari/537.36
2023-10-06 00:05:35 	Создан заказ	95.25.133.173	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.2271 YaBrowser/23.9.0.2271 Yowser/2.5 Safari/537.36
2023-10-06 08:47:45 	Создан заказ	85.174.197.62	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47
2023-10-06 08:51:40 	Создан заказ	85.174.197.62	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47
2023-10-06 08:53:12 	Создан заказ	85.174.197.62	Десктоп	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47
2023-10-06 09:31:20 	Создан заказ	176.106.27.50	Мобильный	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1
2023-10-06 09:33:48 	Создан заказ	176.106.27.50	Мобильный	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1
2023-10-06 09:33:53 	Создан заказ	176.106.27.50	Мобильный	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1
